t,x
0.7341902031,0.0642038956
0.7351326809,0.0644470003
0.7360751587,0.0646907008
0.7370176365,0.0649349977
0.7379601143,0.0651798916
0.7389025921,0.0654253830
0.7398450699,0.0656714727
0.7407875477,0.0659181612
0.7417300255,0.0661654492
0.7426725033,0.0664133373
0.7436149811,0.0666618261
0.7445574589,0.0669109162
0.7454999367,0.0671606082
0.7464424145,0.0674109027
0.7473848923,0.0676618004
0.7483273701,0.0679133019
0.7492698479,0.0681654078
0.7502123257,0.0684181187
0.7511548035,0.0686714352
0.7520972813,0.0689253579
0.7530397591,0.0691798874
0.7539822369,0.0694350244
0.7549247147,0.0696907695
0.7558671925,0.0699471232
0.7568096702,0.0702040862
0.7577521480,0.0704616591
0.7586946258,0.0707198425
0.7596371036,0.0709786370
0.7605795814,0.0712380432
0.7615220592,0.0714980618
0.7624645370,0.0717586932
0.7634070148,0.0720199382
0.7643494926,0.0722817973
0.7652919704,0.0725442711
0.7662344482,0.0728073603
0.7671769260,0.0730710655
0.7681194038,0.0733353872
0.7690618816,0.0736003260
0.7700043594,0.0738658826
0.7709468372,0.0741320575
0.7718893150,0.0743988514
0.7728317928,0.0746662649
0.7737742706,0.0749342985
0.7747167484,0.0752029529
0.7756592262,0.0754722286
0.7766017040,0.0757421263
0.7775441818,0.0760126465
0.7784866596,0.0762837899
0.7794291374,0.0765555570
0.7803716152,0.0768279484
0.7813140929,0.0771009648
0.7822565707,0.0773746067
0.7831990485,0.0776488747
0.7841415263,0.0779237695
0.7850840041,0.0781992915
0.7860264819,0.0784754415
0.7869689597,0.0787522199
0.7879114375,0.0790296275
0.7888539153,0.0793076647
0.7897963931,0.0795863321
0.7907388709,0.0798656305
0.7916813487,0.0801455602
0.7926238265,0.0804261220
0.7935663043,0.0807073164
0.7945087821,0.0809891441
0.7954512599,0.0812716055
0.7963937377,0.0815547013
0.7973362155,0.0818384320
0.7982786933,0.0821227984
0.7992211711,0.0824078008
0.8001636489,0.0826934400
0.8011061267,0.0829797164
0.8020486045,0.0832666308
0.8029910823,0.0835541836
0.8039335601,0.0838423755
0.8048760378,0.0841312070
0.8058185156,0.0844206787
0.8067609934,0.0847107913
0.8077034712,0.0850015451
0.8086459490,0.0852929410
0.8095884268,0.0855849793
0.8105309046,0.0858776608
0.8114733824,0.0861709860
0.8124158602,0.0864649554
0.8133583380,0.0867595696
0.8143008158,0.0870548293
0.8152432936,0.0873507349
0.8161857714,0.0876472871
0.8171282492,0.0879444865
0.8180707270,0.0882423335
0.8190132048,0.0885408289
0.8199556826,0.0888399730
0.8208981604,0.0891397667
0.8218406382,0.0894402103
0.8227831160,0.0897413044
0.8237255938,0.0900430497
0.8246680716,0.0903454467
0.8256105494,0.0906484960
0.8265530272,0.0909521981
0.8274955050,0.0912565537
0.8284379828,0.0915615632
0.8293804605,0.0918672272
0.8303229383,0.0921735464
0.8312654161,0.0924805212
0.8322078939,0.0927881522
0.8331503717,0.0930964401
0.8340928495,0.0934053853
0.8350353273,0.0937149885
0.8359778051,0.0940252501
0.8369202829,0.0943361708
0.8378627607,0.0946477511
0.8388052385,0.0949599916
0.8397477163,0.0952728927
0.8406901941,0.0955864552
0.8416326719,0.0959006796
0.8425751497,0.0962155663
0.8435176275,0.0965311160
0.8444601053,0.0968473293
0.8454025831,0.0971642066
0.8463450609,0.0974817485
0.8472875387,0.0977999557
0.8482300165,0.0981188285
0.8491724943,0.0984383677
0.8501149721,0.0987585737
0.8510574499,0.0990794471
0.8519999277,0.0994009885
0.8529424054,0.0997231984
0.8538848832,0.1000460774
0.8548273610,0.1003696259
0.8557698388,0.1006938446
0.8567123166,0.1010187340
0.8576547944,0.1013442947
0.8585972722,0.1016705272
0.8595397500,0.1019974320
0.8604822278,0.1023250097
0.8614247056,0.1026532609
0.8623671834,0.1029821861
0.8633096612,0.1033117858
0.8642521390,0.1036420605
0.8651946168,0.1039730109
0.8661370946,0.1043046375
0.8670795724,0.1046369408
0.8680220502,0.1049699213
0.8689645280,0.1053035796
0.8699070058,0.1056379162
0.8708494836,0.1059729318
0.8717919614,0.1063086267
0.8727344392,0.1066450016
0.8736769170,0.1069820569
0.8746193948,0.1073197933
0.8755618726,0.1076582113
0.8765043504,0.1079973114
0.8774468281,0.1083370941
0.8783893059,0.1086775599
0.8793317837,0.1090187095
0.8802742615,0.1093605434
0.8812167393,0.1097030620
0.8821592171,0.1100462659
0.8831016949,0.1103901556
0.8840441727,0.1107347317
0.8849866505,0.1110799947
0.8859291283,0.1114259452
0.8868716061,0.1117725836
0.8878140839,0.1121199105
0.8887565617,0.1124679265
0.8896990395,0.1128166320
0.8906415173,0.1131660275
0.8915839951,0.1135161137
0.8925264729,0.1138668910
0.8934689507,0.1142183599
0.8944114285,0.1145705211
0.8953539063,0.1149233749
0.8962963841,0.1152769220
0.8972388619,0.1156311628
0.8981813397,0.1159860979
0.8991238175,0.1163417277
0.9000662953,0.1166980529
0.9010087730,0.1170550740
0.9019512508,0.1174127914
0.9028937286,0.1177712057
0.9038362064,0.1181303173
0.9047786842,0.1184901269
0.9057211620,0.1188506349
0.9066636398,0.1192118419
0.9076061176,0.1195737483
0.9085485954,0.1199363548
0.9094910732,0.1202996617
0.9104335510,0.1206636696
0.9113760288,0.1210283790
0.9123185066,0.1213937905
0.9132609844,0.1217599045
0.9142034622,0.1221267216
0.9151459400,0.1224942423
0.9160884178,0.1228624671
0.9170308956,0.1232313964
0.9179733734,0.1236010309
0.9189158512,0.1239713709
0.9198583290,0.1243424171
0.9208008068,0.1247141699
0.9217432846,0.1250866299
0.9226857624,0.1254597975
0.9236282402,0.1258336732
0.9245707180,0.1262082576
0.9255131957,0.1265835511
0.9264556735,0.1269595543
0.9273981513,0.1273362677
0.9283406291,0.1277136917
0.9292831069,0.1280918269
0.9302255847,0.1284706738
0.9311680625,0.1288502329
0.9321105403,0.1292305046
0.9330530181,0.1296114895
0.9339954959,0.1299931880
0.9349379737,0.1303756007
0.9358804515,0.1307587281
0.9368229293,0.1311425707
0.9377654071,0.1315271289
0.9387078849,0.1319124032
0.9396503627,0.1322983942
